location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Malaysia,32776195.0,96.25,29.9,6.29,3.41,26808.16,260.94,16.74,1.0,42.4,1.9,76.16,0.81,2021-09-14,2011440.0,15669.0,21587.0,463.0,61368.93,478.06,658.62,14.13,18505.53,276.94,MYS,Asia,1.07
Maldives,543620.0,1454.43,30.6,4.12,2.88,15183.62,164.9,9.19,2.1,55.0,,78.92,0.74,2021-09-14,83070.0,120.0,227.0,0.0,152808.95,220.74,417.57,0.0,7234.83,9.2,MDV,Asia,0.27
Mali,20855724.0,15.2,16.4,2.52,1.49,2014.31,268.02,2.42,1.6,23.0,0.1,59.31,0.43,2021-09-14,14991.0,7.0,543.0,0.0,718.8,0.34,26.04,0.0,14.19,0.38,MLI,Africa,3.62
Malta,514564.0,1454.04,42.4,19.43,11.32,36513.32,168.71,8.83,20.9,30.2,4.49,82.53,0.9,2021-09-14,36843.0,50.0,449.0,0.0,71600.42,97.17,872.58,0.0,2926.75,36.92,MLT,Europe,1.22
Marshall Islands,59618.0,295.15,,,,3819.2,557.79,30.53,,,2.7,73.7,0.7,2021-09-14,4.0,0.0,0.0,0.0,67.09,0.0,,,0.0,0.0,MHL,Oceania,
Mauritania,4775110.0,4.29,20.3,3.14,1.79,3597.63,232.35,2.42,,,,64.92,0.55,2021-09-14,35042.0,92.0,760.0,0.0,7338.47,19.27,159.16,0.0,1030.55,25.13,MRT,Africa,2.17
Mauritius,1273428.0,622.96,37.4,10.94,5.88,20292.74,224.64,22.02,3.2,40.7,3.4,74.99,0.8,2021-09-14,13782.0,493.0,45.0,2.0,10822.76,387.14,35.34,1.57,6419.68,18.85,MUS,Africa,0.33
Mexico,130262220.0,66.44,29.3,6.86,4.32,17336.47,152.78,13.06,6.9,21.4,1.38,75.05,0.78,2021-09-14,3528972.0,12929.0,269016.0,1047.0,27091.29,99.25,2065.19,8.04,3354.78,160.05,MEX,North America,7.62
Micronesia (country),116255.0,150.78,23.0,4.81,2.39,3299.46,454.34,12.02,,,,67.88,0.62,2021-09-14,1.0,0.0,0.0,0.0,8.6,0.0,,,0.0,0.0,FSM,Oceania,
Moldova,4024025.0,123.66,37.6,10.86,6.96,5189.97,408.5,5.72,5.9,44.6,5.8,71.9,0.75,2021-09-14,276701.0,1143.0,6548.0,12.0,68762.25,284.04,1627.23,2.98,3642.37,59.64,MDA,Europe,2.37
Monaco,39520.0,19347.5,,,,,,5.46,,,13.8,86.75,,2021-09-14,3284.0,3.0,33.0,0.0,83097.17,75.91,835.02,0.0,5693.32,0.0,MCO,Europe,1.0
Mongolia,3329282.0,1.98,28.6,4.03,2.42,11840.85,460.04,4.82,5.5,46.5,7.0,69.87,0.74,2021-09-14,260709.0,2939.0,1056.0,10.0,78307.88,882.77,317.19,3.0,23463.92,54.07,MNG,Asia,0.41
Montenegro,628051.0,46.28,39.1,14.76,9.4,16409.29,387.3,10.08,44.0,47.9,3.86,76.88,0.83,2021-09-14,123129.0,765.0,1813.0,7.0,196049.36,1218.05,2886.71,11.15,26961.19,269.09,MNE,Europe,1.47
Morocco,37344787.0,80.08,29.6,6.77,4.21,7485.01,419.15,7.14,0.8,47.1,1.1,76.68,0.69,2021-09-14,908349.0,2785.0,13683.0,65.0,24323.32,74.58,366.4,1.74,3986.98,71.39,MAR,Africa,1.51
Mozambique,32163045.0,37.73,17.7,3.16,1.87,1136.1,329.94,3.3,5.1,29.1,0.7,60.85,0.46,2021-09-14,149480.0,221.0,1895.0,1.0,4647.57,6.87,58.92,0.03,333.64,5.57,MOZ,Africa,1.27
Myanmar,54806014.0,81.72,29.1,5.73,3.12,5591.6,202.1,4.61,6.3,35.2,0.9,67.13,0.58,2021-09-14,436527.0,2421.0,16693.0,76.0,7964.95,44.17,304.58,1.39,1500.71,62.58,MMR,Asia,3.82
Namibia,2587344.0,3.08,22.0,3.55,2.08,9541.81,243.81,3.94,9.7,34.2,,63.71,0.65,2021-09-14,126430.0,89.0,3437.0,1.0,48864.78,34.4,1328.39,0.39,1530.91,61.84,NAM,Africa,2.72
Nepal,29674920.0,204.43,25.0,5.81,3.21,2442.8,260.8,7.26,9.5,37.8,0.3,70.78,0.6,2021-09-14,779492.0,1180.0,10984.0,19.0,26267.7,39.76,370.14,0.64,1591.24,23.32,NPL,Asia,1.41
Netherlands,17173094.0,508.54,43.2,18.78,11.88,48472.54,109.36,5.29,24.4,27.3,3.32,82.28,0.94,2021-09-14,2011571.0,2154.0,18469.0,12.0,117135.04,125.43,1075.46,0.7,4472.81,14.62,NLD,Europe,0.92
New Zealand,4860642.0,18.21,37.9,15.32,9.72,36085.84,128.8,8.08,14.8,17.2,2.61,82.29,0.93,2021-09-14,3982.0,15.0,27.0,0.0,819.23,3.09,5.56,0.0,217.05,0.21,NZL,Oceania,0.68
Nicaragua,6702379.0,51.67,27.3,5.44,3.52,5321.44,137.02,11.47,,,0.9,74.48,0.66,2021-09-14,13025.0,675.0,202.0,1.0,1943.34,100.71,30.14,0.15,413.88,0.75,NIC,North America,1.55
Niger,25130810.0,16.95,15.1,2.55,1.38,926.0,238.34,2.42,0.1,15.4,0.3,62.42,0.39,2021-09-14,5932.0,3.0,201.0,1.0,236.04,0.12,8.0,0.04,8.28,0.2,NER,Africa,3.39
Nigeria,211400704.0,209.59,18.1,2.75,1.45,5338.45,181.01,2.42,0.6,10.8,,54.69,0.54,2021-09-14,200057.0,519.0,2637.0,18.0,946.34,2.46,12.47,0.08,83.04,1.98,NGA,Africa,1.32
